,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
892,9,6,Pastry,Kim-Joy,F,27,0,5,0,0.0,0,0,0,0,Flavours of India,Silke the Vegetarian Mermaid
894,9,6,Pastry,Manon,F,26,0,4,0,0.0,1,0,0,0,Samosas for Mum,"""What Has Poppy Eaten?"""
895,9,6,Pastry,Rahul,M,30,1,3,0,1.0,0,0,0,1,Paneer Singara and Misti Singara,Butterfly Pie
896,9,6,Pastry,Ruby,F,29,1,7,0,1.0,0,0,0,0,Traditional Samosas,Kohinoor Crown
899,9,7,Vegan,Briony,F,33,0,5,0,0.0,0,0,0,0,French Onion Tartlets and Celeriac & Apple Tartlets,Hazelnut Mocha Cake
902,9,7,Vegan,Jon,M,47,0,4,0,0.0,1,0,1,0,Garlic Mushroom Tartlets and Falafel & Hummus Tartlets,Only Fools Eat Horses Cake
904,9,7,Vegan,Kim-Joy,F,27,1,6,0,1.0,0,1,0,0,Broccoli & Tomato Quiches and Mascarpone Squirrel Tartlets,Lavender & Lemon Fox Cake
906,9,7,Vegan,Manon,F,26,0,2,0,0.0,0,0,0,0,Summer & Winter Tartlets,Spiced Apple Cake
907,9,7,Vegan,Rahul,M,30,0,1,0,1.0,0,0,0,1,Coriander Posto & Veg Tartlets and Ghugni Chaat Tartlets,Chocolate & Coconut Layer Cake with Raspberry Jam
908,9,7,Vegan,Ruby,F,29,0,3,0,0.0,1,0,0,0,Sage & Butternut Tartlets and 'Cheesy Greens' Tartlets,"Chocolate, Lemon & Coconut Cake"
911,9,8,Danish,Briony,F,33,0,1,0,1.0,0,0,0,0,Spanish & West Country Smørrebrød,Nana Pat Kagekone
916,9,8,Danish,Kim-Joy,F,27,0,2,0,0.0,1,0,0,0,Bumblebee Eggs & Fish Smørrebrød,Off to the Opera Kagekone
918,9,8,Danish,Manon,F,26,0,4,0,0.0,1,0,1,0,Cheese and Fruit Smørrebrød,Birthday Girl Kagekone
919,9,8,Danish,Rahul,M,30,0,5,0,0.0,1,0,0,1,Smoked Salmon & Roasted Vegetable Smørrebrød,Indian King Kagemand
920,9,8,Danish,Ruby,F,29,0,3,0,1.0,0,1,0,0,Post-Gym Smørrebrød,Sister Kagekone
923,9,9,Pâtisserie,Briony,F,33,0,3,0,0.0,1,0,1,0,"Mojito Madeleines
Espresso Martini Madeleines",British Tea to French Pâtisserie Window
928,9,9,Pâtisserie,Kim-Joy,F,27,0,2,0,1.0,0,0,0,0,"Ginger and Lemon Madeleines
Orange Bunny Madeleines",Flavourite Flavours Window Display
931,9,9,Pâtisserie,Rahul,M,30,0,4,0,0.0,1,0,0,1,"Lemon and Raspberry Madeleines
Orange Curd Madeleines",Classic Tribute to Pâtisserie Window
932,9,9,Pâtisserie,Ruby,F,29,0,1,0,1.0,0,1,0,0,Pick Your Own Madeleines,Parisian Un Bouquet de Fleurs Window Display
940,9,10,Final,Kim-Joy,F,27,0,1,0,0.0,0,0,1,0,Amaretto Diplomat Filled Doughnuts & Lemon Ring Doughnuts,Lost City of Atlantis Dessert Landscape
943,9,10,Final,Rahul,M,30,0,2,0,0.0,0,1,0,1,Mango Créme Pâtissière Filled Doughnuts & Spiced Orange Ring Doughnuts,Edible Rock Garden
944,9,10,Final,Ruby,F,29,0,3,0,0.0,0,0,1,0,Dulce De Leche Filled Doughnuts & Raspberry and Cardamom Ring Doughnuts,Magical Edible Landscape
946,10,1,Cake,Alice,F,29,0,5,0,0.0,0,0,0,0,Gingerbread Fruit Cake Wreath,Like a Child in a Sweetshop Cake
947,10,1,Cake,Amelia,F,24,0,4,0,0.0,0,0,0,0,Christmas Cake,Carousel Birthday Cake
948,10,1,Cake,Dan,M,32,0,10,0,0.0,1,0,1,0,Jamaican Rum Cake,Pirate Island Cake
949,10,1,Cake,David,M,36,0,9,0,0.0,0,0,0,1,Squishy Squashy Fruit Cake,Snakey Birthday Cakey
950,10,1,Cake,Helena,F,40,0,12,0,0.0,0,0,0,0,Fruit Bat Cake,Away with the Fairies Cake
951,10,1,Cake,Henry,M,20,0,1,0,0.0,0,0,0,0,Wood Street Cake,Secret Woodland Cake
952,10,1,Cake,Jamie,M,20,0,13,0,0.0,1,0,0,0,Easter Simnel Cake,Salted Caramel Schnauzer Birthday Cake
953,10,1,Cake,Michael,M,26,0,11,0,0.0,0,0,0,0,Cup of Chai Cake,Treasure Chest Cake
954,10,1,Cake,Michelle,F,35,0,6,0,1.0,0,1,0,0,Bara Brith Teulu Ni (Our Family's Bara Brith),Tŷ Tylwyth Teg (Fairy House Cake)
955,10,1,Cake,Phil,M,56,0,8,0,0.0,0,0,0,0,Spiced Fruit Cake with Rum Glaze,Retro Rocket Cake
