,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
261,4,4,Pie and Tart,Howard,M,51,0,5,0,0.0,0,0,0,0,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
262,4,4,Pie and Tart,Kimberley,F,30,0,4,0,1.0,0,1,0,0,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
265,4,4,Pie and Tart,Robert,M,54,0,3,0,0.0,1,0,0,0,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
266,4,4,Pie and Tart,Ruby,F,20,0,6,0,1.0,0,0,0,0,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
269,4,5,Biscuits,Beca,F,31,0,5,0,0.0,0,0,0,0,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
270,4,5,Biscuits,Christine,F,66,0,1,0,1.0,0,1,0,0,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
272,4,5,Biscuits,Frances,F,31,0,3,0,0.0,0,0,0,1,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
273,4,5,Biscuits,Glenn,M,37,0,2,0,1.0,0,0,0,0,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
274,4,5,Biscuits,Howard,M,51,0,8,0,0.0,0,0,0,0,Breakfast Traybake,Japanese Pagoda Tea Tower
275,4,5,Biscuits,Kimberley,F,30,0,7,0,0.0,1,0,0,0,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
278,4,5,Biscuits,Robert,M,54,0,4,0,0.0,1,0,1,0,Blueberry & Orange Traybake,Dalek
279,4,5,Biscuits,Ruby,F,20,0,6,0,0.0,1,0,0,0,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
282,4,6,Sweet Dough,Beca,F,31,0,6,0,0.0,0,0,0,0,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
283,4,6,Sweet Dough,Christine,F,66,0,4,0,0.0,0,0,0,0,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
285,4,6,Sweet Dough,Frances,F,31,0,2,0,1.0,0,0,0,1,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
286,4,6,Sweet Dough,Glenn,M,37,0,5,0,0.0,1,0,0,0,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
287,4,6,Sweet Dough,Howard,M,51,0,7,0,0.0,1,0,1,0,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
288,4,6,Sweet Dough,Kimberley,F,30,0,3,0,0.0,0,0,0,0,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
292,4,6,Sweet Dough,Ruby,F,20,0,1,0,1.0,0,1,0,0,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
295,4,7,Pastry,Beca,F,31,0,1,0,1.0,0,0,0,0,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
296,4,7,Pastry,Christine,F,66,0,6,0,0.0,1,0,0,0,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
298,4,7,Pastry,Frances,F,31,0,5,0,1.0,0,1,0,1,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
299,4,7,Pastry,Glenn,M,37,0,3,0,0.0,1,0,1,0,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
301,4,7,Pastry,Kimberley,F,30,0,4,0,0.0,0,0,0,0,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
305,4,7,Pastry,Ruby,F,20,0,2,0,0.0,0,0,0,0,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
308,4,8,Unconventional,Beca,F,31,0,4,0,0.0,1,0,0,0,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
309,4,8,Unconventional,Christine,F,66,0,5,0,0.0,1,0,1,0,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
311,4,8,Unconventional,Frances,F,31,0,3,0,0.0,1,0,0,1,'Chelsea Flour Show' Bun Bouquet,Hidden Carrot Cake
314,4,8,Unconventional,Kimberley,F,30,0,2,0,1.0,0,0,0,0,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
318,4,8,Unconventional,Ruby,F,20,0,1,0,1.0,0,1,0,0,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
321,4,9,Pâtisserie,Beca,F,31,0,3,0,0.0,1,0,1,0,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
324,4,9,Pâtisserie,Frances,F,31,1,2,0,1.0,0,0,0,1,"Légume Canapés
(Chantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones)",Great British Soap Opera Cake
327,4,9,Pâtisserie,Kimberley,F,30,0,1,0,1.0,0,1,0,0,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
331,4,9,Pâtisserie,Ruby,F,20,0,4,0,0.0,1,0,0,0,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
337,4,10,Final,Frances,F,31,0,3,0,0.0,0,1,0,1,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
340,4,10,Final,Kimberley,F,30,0,1,0,0.0,0,0,1,0,Chicken and Pig Pie,Languages of Love Wedding Cake
344,4,10,Final,Ruby,F,20,0,2,0,0.0,0,0,1,0,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
346,5,1,Cake,Chetna,F,35,0,3,0,0.0,0,0,0,0,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
347,5,1,Cake,Claire,F,31,0,8,0,0.0,1,0,1,0,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
348,5,1,Cake,Diana,F,69,0,5,0,0.0,0,0,0,0,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
349,5,1,Cake,Enwezor,M,39,0,9,0,0.0,0,0,0,0,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
350,5,1,Cake,Iain,M,31,0,4,0,0.0,1,0,0,0,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
351,5,1,Cake,Jordan,M,32,0,12,0,0.0,1,0,0,0,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
352,5,1,Cake,Kate,F,41,0,6,0,0.0,0,0,0,0,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
353,5,1,Cake,Luis,M,42,0,7,0,0.0,0,0,0,0,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
354,5,1,Cake,Martha,F,17,0,2,0,1.0,0,0,0,0,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
355,5,1,Cake,Nancy,F,60,0,1,0,1.0,0,1,0,1,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
356,5,1,Cake,Norman,M,66,0,11,0,0.0,0,0,0,0,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
357,5,1,Cake,Richard,M,38,0,10,0,1.0,0,0,0,0,Pistachio and Strawberry Swiss Roll,Miniature Coffee and Walnut Cakes
358,5,2,Biscuits,Chetna,F,35,0,8,0,0.0,0,0,0,0,Fenugreek and Carom Crackers,Day On The Beach
360,5,2,Biscuits,Diana,F,69,0,7,0,0.0,0,0,0,0,Parmesan Triangles,"Express, First Class"
361,5,2,Biscuits,Enwezor,M,39,0,9,0,0.0,1,0,1,0,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
362,5,2,Biscuits,Iain,M,31,0,11,0,0.0,0,0,0,0,Za'atar and Fig Biscuits,Wild West Scene
363,5,2,Biscuits,Jordan,M,32,0,6,0,0.0,0,0,0,0,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack
364,5,2,Biscuits,Kate,F,41,0,4,0,0.0,0,0,0,0,Parmesan and Apple Biscuits,Tea Time
365,5,2,Biscuits,Luis,M,42,0,3,0,1.0,0,0,0,0,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
366,5,2,Biscuits,Martha,F,17,0,5,0,0.0,0,0,0,0,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene
367,5,2,Biscuits,Nancy,F,60,0,2,0,0.0,0,0,0,1,Fennel and Rye Thins,Hansel and Gretel Scene
368,5,2,Biscuits,Norman,M,66,1,10,0,0.0,1,0,0,0,Farthing Biscuits,Zulu Boats at Dawn
369,5,2,Biscuits,Richard,M,38,0,1,0,1.0,0,1,0,0,Rosemary Seeded Crackers,Pirates!
370,5,3,Bread,Chetna,F,35,0,8,0,0.0,0,0,0,0,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
372,5,3,Bread,Diana,F,69,0,7,0,0.0,0,0,0,0,Rustic Picnic Rolls,Sharing Savoury Pinwheel
374,5,3,Bread,Iain,M,31,0,9,0,0.0,0,0,0,0,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
375,5,3,Bread,Jordan,M,32,0,10,0,0.0,1,0,1,0,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
376,5,3,Bread,Kate,F,41,0,1,0,1.0,0,0,0,0,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive & Coriander Bread"
377,5,3,Bread,Luis,M,42,1,2,0,1.0,0,1,0,0,Opposites Attract Rolls,Roscón de Reyes
378,5,3,Bread,Martha,F,17,0,3,0,0.0,0,0,0,0,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf
379,5,3,Bread,Nancy,F,60,0,5,0,0.0,0,0,0,1,Cider and Walnut Crusty Rolls,'Full English' Stromboli
380,5,3,Bread,Norman,M,66,0,4,0,0.0,1,0,0,0,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf
381,5,3,Bread,Richard,M,38,0,6,0,0.0,0,0,0,0,Rye and Cranberry Rolls,Pesto Pinwheel
382,5,4,Dessert,Chetna,F,35,0,3,0,0.0,0,0,0,0,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
384,5,4,Dessert,Diana,F,69,0,9,0,0.0,0,0,0,0,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan
386,5,4,Dessert,Iain,M,31,0,6,0,0.0,1,0,1,0,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
388,5,4,Dessert,Kate,F,41,0,7,0,1.0,0,0,0,0,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
389,5,4,Dessert,Luis,M,42,0,2,0,0.0,0,0,0,0,Pears in Puddings,Bakewell Alaska
390,5,4,Dessert,Martha,F,17,0,1,0,0.0,0,0,0,0,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska
391,5,4,Dessert,Nancy,F,60,0,4,0,0.0,0,0,0,1,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska
392,5,4,Dessert,Norman,M,66,0,8,0,0.0,1,0,0,0,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise
393,5,4,Dessert,Richard,M,38,0,5,0,1.0,0,1,0,0,Black Forest Chocolate Fondants,Tiramisu Baked Alaska
394,5,5,Pie and Tart,Chetna,F,35,0,2,0,0.0,0,0,0,0,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
400,5,5,Pie and Tart,Kate,F,41,0,3,0,1.0,0,1,0,0,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
401,5,5,Pie and Tart,Luis,M,42,0,6,0,0.0,0,0,0,0,Tropical Manchester Tart,Four Fruity Seasons Tower
402,5,5,Pie and Tart,Martha,F,17,0,1,0,0.0,1,0,0,0,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie
403,5,5,Pie and Tart,Nancy,F,60,0,4,0,1.0,0,0,0,1,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies
404,5,5,Pie and Tart,Norman,M,66,0,5,0,0.0,1,0,1,0,Tarte au Citron,Pieful Tower
405,5,5,Pie and Tart,Richard,M,38,0,7,0,0.0,1,0,0,0,Fig and Orange Tart,Three Course Autumn Pie Feast
406,5,6,European Cakes,Chetna,F,35,0,2,0,1.0,0,1,0,0,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
412,5,6,European Cakes,Kate,F,41,0,6,0,0.0,1,0,0,0,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
413,5,6,European Cakes,Luis,M,42,0,3,0,1.0,0,0,0,0,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
414,5,6,European Cakes,Martha,F,17,0,4,0,0.0,0,0,0,0,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
415,5,6,European Cakes,Nancy,F,60,0,1,0,1.0,0,0,0,1,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
417,5,6,European Cakes,Richard,M,38,0,5,0,0.0,1,0,0,0,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
418,5,7,Pastry,Chetna,F,35,0,6,0,0.0,0,0,0,0,Crispy Lentil Kachori,Chocolate & Mango and Lemon Meringue Éclairs
424,5,7,Pastry,Kate,F,41,0,4,0,0.0,1,0,1,0,Spinach and Paneer Spicy Samosa,Neapolitan and Lemon Meringue Éclairs
425,5,7,Pastry,Luis,M,42,0,5,0,0.0,0,0,0,0,Childhood Empanadas,Stars and Stripes Éclairs
426,5,7,Pastry,Martha,F,17,0,3,0,0.0,1,0,0,0,Mini Beef Wellingtons,Rhubarb & Custard and Maple Syrup & Bacon Éclairs
427,5,7,Pastry,Nancy,F,60,0,2,0,1.0,0,0,0,1,Spicy Duck Pasties,Smoked Salmon & Horseradish and Raspberry Ripple Éclairs
429,5,7,Pastry,Richard,M,38,0,1,0,0.0,0,1,0,0,Minted Lamb Pasties,Stair of Éclairs: Blueberry & Lavender and Raspberry & Rose
430,5,8,Advanced Dough,Chetna,F,35,0,1,0,0.0,0,0,0,0,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
437,5,8,Advanced Dough,Luis,M,42,0,2,0,1.0,0,0,0,0,Black Forest Cherry Tree,Cocktail Doughnuts
438,5,8,Advanced Dough,Martha,F,17,0,5,0,0.0,1,0,1,0,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppyseed DoughnutsChocolate & Passion Fruit Doughnuts
439,5,8,Advanced Dough,Nancy,F,60,0,3,0,0.5,0,0,0,1,Lincolnshire Plum Braid,Doughnut Family Tree
441,5,8,Advanced Dough,Richard,M,38,0,4,0,1.0,0,1,0,0,Fruit Swedish Tea Ring,Rhubarb and CustardToffee Apple Doughnuts
442,5,9,Pâtisserie,Chetna,F,35,0,4,0,0.0,1,0,1,0,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
449,5,9,Pâtisserie,Luis,M,42,0,1,0,1.0,0,0,0,0,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
451,5,9,Pâtisserie,Nancy,F,60,0,3,0,0.0,1,0,0,1,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
453,5,9,Pâtisserie,Richard,M,38,0,2,0,1.0,0,1,0,0,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
461,5,10,Final,Luis,M,42,0,2,0,0.0,0,0,1,0,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
463,5,10,Final,Nancy,F,60,0,1,0,0.0,0,1,0,1,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
465,5,10,Final,Richard,M,38,0,3,0,0.0,0,0,1,0,Pear Pain au ChocolatPain Au Lait,Mill on the Hill
466,6,1,Cake,Alvin,M,37,0,2,0,0.0,0,0,0,0,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
467,6,1,Cake,Dorret,F,53,0,5,0,0.0,1,0,0,0,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
468,6,1,Cake,Flora,F,19,0,6,0,1.0,0,0,0,0,Blood Orange Madeira Cake,Black Forest Gâteau
469,6,1,Cake,Ian,M,41,0,8,0,0.0,0,0,0,0,Somewhere West of Madeira Cake,Black Forest Cherry Tree
470,6,1,Cake,Marie,F,66,0,3,0,1.0,0,1,0,0,Zingy Citrus Madeira Cake,A Walk in the Black Forest
471,6,1,Cake,Mat,M,37,0,7,0,0.0,0,0,0,0,Gin and Tonic Madeira Cake,Black Forest Gateau
472,6,1,Cake,Nadiya,F,30,0,12,0,1.0,0,0,0,1,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
473,6,1,Cake,Paul,M,49,0,10,0,0.0,0,0,0,0,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
474,6,1,Cake,Sandy,F,49,0,9,0,0.0,0,0,0,0,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
475,6,1,Cake,Stu,M,35,0,11,0,0.0,1,0,1,0,Marley Madeira Cake,Purple Forest Gâteau
476,6,1,Cake,Tamal,M,29,0,4,0,1.0,0,0,0,0,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
477,6,1,Cake,Ugnė,F,32,0,1,0,0.0,1,0,0,0,Lemon and Thyme Madeira Cake,Falling Cup Gâteau
478,6,2,Biscuits,Alvin,M,37,0,6,0,0.0,0,0,0,0,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
479,6,2,Biscuits,Dorret,F,53,0,1,0,0.0,1,0,0,0,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
480,6,2,Biscuits,Flora,F,19,0,2,0,0.0,0,0,0,0,Wedding Biscotti,Honey and Earl Grey Tea Box
481,6,2,Biscuits,Ian,M,41,0,3,0,1.0,0,1,0,0,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
482,6,2,Biscuits,Marie,F,66,0,11,0,0.0,1,0,1,0,Biscotti Italiano,Russian Box
483,6,2,Biscuits,Mat,M,37,0,5,0,1.0,0,0,0,0,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
484,6,2,Biscuits,Nadiya,F,30,0,9,0,0.0,0,0,0,1,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
485,6,2,Biscuits,Paul,M,49,0,10,0,0.0,1,0,0,0,"Chocolate, Hazelnut and Fig Biscotti",Memory Box
486,6,2,Biscuits,Sandy,F,49,0,4,0,1.0,0,0,0,0,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
488,6,2,Biscuits,Tamal,M,29,0,8,0,0.0,0,0,0,0,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
489,6,2,Biscuits,Ugnė,F,32,0,7,0,0.0,0,0,0,0,White Wine Biscotti,Baby Climbing into the Cookie Box
490,6,3,Bread,Alvin,M,37,0,4,0,1.0,0,0,0,0,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
491,6,3,Bread,Dorret,F,53,0,6,0,0.0,1,0,1,0,Walnut and Stilton Soda Breads,Unmade Bread
492,6,3,Bread,Flora,F,19,0,2,0,0.0,0,0,0,0,Fig and Hazelnut Rye Breads,Herb Couture
493,6,3,Bread,Ian,M,41,0,1,0,1.0,0,1,0,0,Wild Garlic Pesto Soda Breads,Flour Power
495,6,3,Bread,Mat,M,37,0,8,0,0.0,1,0,0,0,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
496,6,3,Bread,Nadiya,F,30,0,9,0,0.0,0,0,0,1,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
497,6,3,Bread,Paul,M,49,1,10,0,1.0,0,0,0,0,Cranberry and Orange Sweet Soda Breads,King of the Jungle*
498,6,3,Bread,Sandy,F,49,0,7,0,0.0,0,0,0,0,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
500,6,3,Bread,Tamal,M,29,0,3,0,0.0,0,0,0,0,"Fig, Cheese and Walnut Breads",Breadcycle
501,6,3,Bread,Ugnė,F,32,0,5,0,0.0,0,0,0,0,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
502,6,4,Dessert,Alvin,M,37,0,9,0,0.0,1,0,0,0,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
504,6,4,Dessert,Flora,F,19,0,3,0,0.0,0,0,0,0,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
505,6,4,Dessert,Ian,M,41,0,4,0,1.0,0,1,0,0,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
507,6,4,Dessert,Mat,M,37,0,7,0,0.0,0,0,0,0,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
508,6,4,Dessert,Nadiya,F,30,0,8,0,1.0,0,0,0,1,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
509,6,4,Dessert,Paul,M,49,0,1,0,0.0,1,0,0,0,Almond Crème Brûlées,Berry Cheesecake Tower
510,6,4,Dessert,Sandy,F,49,0,6,0,0.0,1,0,1,0,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
512,6,4,Dessert,Tamal,M,29,0,5,0,1.0,0,0,0,0,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
513,6,4,Dessert,Ugnė,F,32,0,2,0,0.0,0,0,0,0,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
514,6,5,Alternative,Alvin,M,37,0,8,0,0.0,0,0,0,0,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
516,6,5,Alternative,Flora,F,19,0,3,0,0.0,1,0,0,0,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
517,6,5,Alternative,Ian,M,41,0,5,0,0.0,0,0,0,0,Honey and Flowers Cake,Dessert Island
519,6,5,Alternative,Mat,M,37,0,4,0,0.0,0,0,0,0,Sugar Free Carrot Cake,Raspberry & Coconut Ice Cream Roll
520,6,5,Alternative,Nadiya,F,30,0,1,0,1.0,0,1,0,1,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
521,6,5,Alternative,Paul,M,49,0,2,0,1.0,0,0,0,0,Carrot & Pecan Cake,Dessert Island Getaway
524,6,5,Alternative,Tamal,M,29,0,7,0,0.0,0,0,0,0,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
525,6,5,Alternative,Ugnė,F,32,0,6,0,0.0,1,0,1,0,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
526,6,6,Pastry,Alvin,M,37,0,6,0,0.0,1,0,1,0,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
528,6,6,Pastry,Flora,F,19,0,2,0,1.0,0,0,0,0,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
529,6,6,Pastry,Ian,M,41,0,3,0,0.0,0,0,0,0,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
531,6,6,Pastry,Mat,M,37,0,1,0,1.0,0,1,0,0,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
532,6,6,Pastry,Nadiya,F,30,0,4,0,0.0,1,0,0,1,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
533,6,6,Pastry,Paul,M,49,0,5,0,0.0,0,0,0,0,Christmas Frangipane Tart,Savoury and Sweet Bouchées
536,6,6,Pastry,Tamal,M,29,0,7,0,0.0,0,0,0,0,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
540,6,7,Victorian,Flora,F,19,0,4,0,0.0,0,0,0,0,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
541,6,7,Victorian,Ian,M,41,0,5,0,0.0,0,0,0,0,Roadkill Pie,Victoria's Crown Charlotte Russe
543,6,7,Victorian,Mat,M,37,0,6,0,0.0,1,0,1,0,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
544,6,7,Victorian,Nadiya,F,30,0,1,0,0.0,0,0,0,1,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
545,6,7,Victorian,Paul,M,49,0,2,0,0.0,1,0,0,0,Not a Boaring Pie,Charlotte Rose
548,6,7,Victorian,Tamal,M,29,1,3,0,0.0,0,1,0,0,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
552,6,8,Pâtisserie,Flora,F,19,0,3,0,0.0,1,0,0,0,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
553,6,8,Pâtisserie,Ian,M,41,0,2,0,0.0,0,0,0,0,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
556,6,8,Pâtisserie,Nadiya,F,30,0,1,0,1.0,0,1,0,1,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
557,6,8,Pâtisserie,Paul,M,49,0,5,0,0.0,1,0,1,0,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
560,6,8,Pâtisserie,Tamal,M,29,0,4,0,1.0,0,0,0,0,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
564,6,9,Chocolate,Flora,F,19,0,1,0,0.0,1,0,1,0,Passion Fruit and Chocolate Tart,Cocoa Carousel
565,6,9,Chocolate,Ian,M,41,0,3,0,0.0,1,0,0,0,Chocolate and Bay Tart,Chocolate Well
568,6,9,Chocolate,Nadiya,F,30,1,4,0,1.0,0,1,0,1,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
